,Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
1387,average,pescetarian,female,moderate,twice a day,gas,bike,diesel,large,never,11.0,2.0,508.0,0.39,808.0,6.14
1388,underweight,vegan,male,low,twice a day,wood,bike,diesel,medium,never,7.0,5.0,341.0,5.24,1932.0,3.72
1389,athletic,vegetarian,female,moderate,rarely,gas,hybrid,diesel,extra large,never,14.0,5.0,171.0,5.58,1504.0,4.96
1390,overweight,vegan,male,moderate,frequently,gas,public,diesel,extra large,rarely,1.0,2.0,360.0,8.48,1528.0,7.42
1391,overweight,omnivore,other,moderate,daily,electricity,private,hybrid,extra large,rarely,16.0,2.0,267.0,8.82,3959.0,1.97
1392,average,vegan,other,high,rarely,electricity,walk,hybrid,extra large,never,9.0,6.0,403.0,5.1,1527.0,8.21
1393,overweight,pescetarian,female,high,frequently,solar,bike,electric,small,never,17.0,2.0,377.0,11.73,392.0,4.81
1394,athletic,vegan,other,low,daily,electricity,private,electric,small,frequently,11.0,3.0,185.0,1.35,1629.0,9.78
1395,overweight,pescetarian,male,low,twice a day,solar,bike,diesel,medium,frequently,0.0,2.0,118.0,10.83,2115.0,5.78
1396,underweight,vegetarian,female,low,frequently,electricity,bike,electric,extra large,never,3.0,5.0,158.0,9.24,2644.0,1.51
1397,underweight,vegan,other,moderate,twice a day,electricity,bike,hybrid,small,never,4.0,1.0,470.0,6.4,3322.0,5.6
1398,average,vegetarian,other,moderate,twice a day,wood,private,diesel,extra large,frequently,2.0,4.0,490.0,9.15,2359.0,5.76
1399,athletic,vegetarian,female,moderate,frequently,electricity,hybrid,petrol,medium,frequently,0.0,6.0,330.0,9.05,1346.0,7.0
1400,underweight,vegan,other,low,daily,wood,private,petrol,large,never,6.0,2.0,565.0,2.0,3893.0,2.48
1401,underweight,pescetarian,other,low,frequently,electricity,private,petrol,medium,frequently,19.0,2.0,598.0,6.39,4408.0,5.29
1402,athletic,vegetarian,female,low,daily,wood,public,electric,small,rarely,11.0,2.0,185.0,5.65,4514.0,4.48
1403,overweight,vegetarian,other,low,rarely,gas,public,diesel,small,frequently,5.0,6.0,527.0,5.93,4221.0,9.26
1404,overweight,vegan,other,high,rarely,solar,hybrid,petrol,small,never,19.0,1.0,58.0,2.02,3314.0,3.66
1405,average,vegan,other,high,rarely,electricity,public,diesel,medium,rarely,16.0,7.0,292.0,4.62,3933.0,1.16
1406,overweight,vegan,other,high,twice a day,wood,hybrid,hybrid,medium,rarely,10.0,2.0,413.0,6.23,1181.0,5.48
1407,athletic,vegan,female,low,rarely,electricity,bike,petrol,medium,frequently,7.0,2.0,501.0,8.21,4815.0,9.67
1408,underweight,vegan,male,high,twice a day,wood,bike,petrol,extra large,never,10.0,6.0,554.0,5.08,3202.0,6.78
1409,overweight,omnivore,male,high,daily,wood,private,petrol,small,frequently,12.0,2.0,114.0,7.76,4406.0,6.41
1410,average,vegan,other,low,frequently,electricity,bike,hybrid,medium,frequently,8.0,7.0,63.0,7.41,1227.0,8.49
1411,overweight,pescetarian,other,high,frequently,solar,public,diesel,medium,frequently,18.0,7.0,175.0,9.76,728.0,2.4
1412,athletic,vegetarian,male,low,twice a day,wood,walk,petrol,extra large,rarely,19.0,1.0,587.0,4.98,3233.0,4.18
1413,average,pescetarian,other,low,twice a day,gas,private,petrol,small,frequently,4.0,4.0,465.0,10.47,3619.0,2.87
1414,overweight,pescetarian,male,low,twice a day,electricity,hybrid,diesel,large,frequently,9.0,6.0,302.0,0.32,1170.0,4.46
1415,average,omnivore,female,moderate,daily,gas,bike,electric,large,frequently,12.0,6.0,435.0,10.81,2858.0,1.51
1416,athletic,vegan,female,low,daily,wood,private,electric,small,frequently,4.0,5.0,269.0,11.42,3411.0,4.69
1417,underweight,vegetarian,female,high,rarely,wood,private,petrol,extra large,never,2.0,1.0,482.0,4.95,2932.0,2.33
1418,athletic,pescetarian,female,high,rarely,electricity,private,petrol,small,never,16.0,2.0,252.0,11.39,1934.0,6.59
1419,athletic,vegan,female,low,frequently,solar,bike,electric,large,never,9.0,3.0,584.0,10.37,3360.0,5.32
1420,athletic,vegan,female,moderate,rarely,gas,hybrid,electric,medium,rarely,16.0,1.0,549.0,0.68,3284.0,7.01
1421,athletic,omnivore,male,moderate,daily,solar,private,petrol,small,never,5.0,2.0,365.0,7.82,3244.0,4.97
1422,underweight,omnivore,other,moderate,daily,gas,private,diesel,large,frequently,13.0,6.0,272.0,11.01,2814.0,6.64
1423,underweight,omnivore,male,high,daily,solar,private,electric,medium,frequently,8.0,2.0,526.0,2.47,1857.0,1.9
1424,average,vegetarian,female,moderate,daily,electricity,bike,petrol,small,never,4.0,5.0,379.0,11.05,881.0,2.48
1425,overweight,pescetarian,other,moderate,frequently,gas,public,hybrid,extra large,rarely,19.0,1.0,108.0,2.48,4992.0,9.71
1426,underweight,omnivore,other,low,frequently,electricity,hybrid,diesel,large,rarely,7.0,1.0,208.0,7.58,238.0,8.56
1427,underweight,omnivore,female,moderate,daily,solar,private,petrol,medium,rarely,15.0,6.0,305.0,4.57,1295.0,6.03
1428,overweight,omnivore,female,moderate,twice a day,solar,private,hybrid,medium,frequently,6.0,5.0,429.0,6.58,1137.0,9.99
1429,underweight,pescetarian,female,moderate,rarely,solar,private,electric,extra large,never,1.0,6.0,579.0,3.38,2622.0,1.32
1430,athletic,pescetarian,female,low,frequently,electricity,bike,hybrid,large,rarely,8.0,3.0,413.0,4.89,1775.0,9.8
1431,athletic,omnivore,female,low,twice a day,wood,public,hybrid,medium,frequently,9.0,7.0,272.0,6.04,2929.0,1.54
1432,overweight,omnivore,female,moderate,rarely,wood,private,hybrid,extra large,rarely,18.0,3.0,504.0,6.02,2932.0,6.78
1433,average,vegan,other,high,twice a day,gas,private,electric,large,rarely,3.0,4.0,580.0,11.93,2868.0,6.25
1434,average,omnivore,female,high,daily,electricity,bike,hybrid,extra large,never,12.0,4.0,371.0,10.26,1345.0,8.88
1435,overweight,vegetarian,female,low,rarely,electricity,hybrid,electric,extra large,frequently,1.0,5.0,351.0,1.77,1916.0,6.26
1436,overweight,vegetarian,other,moderate,twice a day,electricity,hybrid,petrol,extra large,rarely,18.0,6.0,269.0,11.53,899.0,2.99
1437,athletic,omnivore,male,high,frequently,solar,public,hybrid,extra large,frequently,5.0,1.0,215.0,6.82,2554.0,2.94
1438,average,pescetarian,female,moderate,frequently,electricity,hybrid,diesel,large,rarely,15.0,7.0,206.0,7.32,3084.0,7.6
1439,underweight,vegan,other,low,frequently,wood,private,petrol,extra large,never,14.0,2.0,396.0,3.31,1347.0,8.51
1440,athletic,pescetarian,other,high,rarely,gas,bike,electric,extra large,rarely,13.0,3.0,304.0,3.64,2446.0,5.37
1441,overweight,omnivore,male,low,daily,wood,private,petrol,medium,never,12.0,6.0,238.0,1.65,2093.0,8.26
1442,average,vegetarian,female,moderate,daily,electricity,private,hybrid,large,rarely,16.0,1.0,500.0,9.96,1180.0,2.41
1443,underweight,vegan,female,low,rarely,gas,public,electric,large,never,17.0,6.0,225.0,5.8,2821.0,5.79
1444,underweight,pescetarian,female,low,rarely,gas,hybrid,hybrid,extra large,rarely,19.0,4.0,131.0,1.17,3810.0,5.3
1445,athletic,pescetarian,other,low,daily,electricity,hybrid,petrol,extra large,rarely,0.0,3.0,137.0,5.33,1311.0,8.46
1446,average,omnivore,female,low,frequently,electricity,hybrid,diesel,small,rarely,3.0,2.0,372.0,4.09,4330.0,9.27
1447,average,vegan,female,high,daily,wood,private,petrol,extra large,frequently,15.0,6.0,430.0,8.28,1099.0,2.02
1448,overweight,vegetarian,female,moderate,daily,wood,bike,petrol,large,frequently,17.0,4.0,73.0,2.24,774.0,6.24
1449,average,omnivore,female,high,twice a day,solar,bike,hybrid,medium,rarely,9.0,7.0,396.0,11.22,147.0,4.74
1450,average,vegan,male,moderate,frequently,solar,private,diesel,large,frequently,19.0,7.0,495.0,9.37,3434.0,5.29
1451,athletic,pescetarian,male,moderate,rarely,solar,walk,hybrid,medium,frequently,7.0,7.0,491.0,4.7,4656.0,8.51
1452,average,omnivore,male,moderate,daily,electricity,private,hybrid,extra large,rarely,5.0,7.0,467.0,2.26,3238.0,7.04
1453,underweight,pescetarian,female,moderate,frequently,electricity,hybrid,hybrid,small,rarely,16.0,2.0,524.0,9.21,1450.0,5.57
1454,athletic,pescetarian,female,moderate,rarely,solar,private,electric,medium,rarely,4.0,4.0,94.0,1.42,2593.0,6.06
1455,athletic,omnivore,other,high,twice a day,solar,walk,hybrid,large,frequently,3.0,2.0,206.0,1.05,2842.0,8.69
1456,overweight,omnivore,other,moderate,twice a day,wood,private,diesel,extra large,frequently,3.0,7.0,168.0,8.16,335.0,8.53
1457,average,omnivore,other,low,frequently,solar,hybrid,hybrid,medium,frequently,18.0,6.0,544.0,2.4,4351.0,4.08
1458,overweight,omnivore,female,high,daily,solar,public,hybrid,small,rarely,8.0,3.0,240.0,7.72,3944.0,2.02
1459,underweight,omnivore,male,high,rarely,gas,bike,diesel,small,frequently,12.0,6.0,445.0,4.26,1189.0,2.41
1460,athletic,pescetarian,male,moderate,frequently,solar,walk,petrol,small,frequently,6.0,5.0,511.0,1.15,147.0,3.9
1461,athletic,vegetarian,male,low,twice a day,gas,public,hybrid,extra large,never,17.0,2.0,460.0,7.49,2567.0,9.69
1462,athletic,vegetarian,female,low,rarely,solar,bike,petrol,medium,never,17.0,3.0,243.0,7.76,3843.0,9.39
1463,underweight,omnivore,male,moderate,rarely,gas,public,hybrid,medium,rarely,16.0,1.0,86.0,6.48,1101.0,9.11
1464,underweight,pescetarian,other,moderate,daily,solar,private,hybrid,extra large,rarely,7.0,1.0,175.0,4.19,1110.0,6.07
1465,overweight,vegetarian,other,low,twice a day,wood,private,electric,medium,frequently,10.0,4.0,94.0,10.97,561.0,5.48
1466,overweight,vegetarian,male,high,twice a day,electricity,bike,diesel,extra large,never,5.0,7.0,234.0,8.16,4250.0,3.24
1467,overweight,vegetarian,other,high,twice a day,gas,bike,diesel,small,never,7.0,7.0,67.0,6.65,4110.0,7.11
1468,average,pescetarian,male,moderate,rarely,electricity,private,petrol,medium,rarely,7.0,6.0,560.0,5.77,809.0,8.93
1469,athletic,omnivore,male,high,twice a day,wood,private,electric,small,frequently,18.0,6.0,574.0,10.12,2582.0,8.57
1470,athletic,omnivore,other,high,frequently,solar,bike,hybrid,extra large,rarely,14.0,5.0,378.0,11.54,945.0,7.85
1471,overweight,omnivore,other,low,twice a day,solar,bike,electric,small,frequently,18.0,4.0,361.0,6.69,3633.0,3.2
1472,athletic,vegan,other,high,rarely,wood,bike,diesel,large,never,5.0,6.0,251.0,0.59,3780.0,6.18
1473,overweight,vegan,other,low,twice a day,electricity,hybrid,hybrid,extra large,frequently,3.0,6.0,69.0,5.89,2589.0,3.02
1474,average,vegan,male,moderate,twice a day,electricity,hybrid,hybrid,large,never,6.0,2.0,439.0,7.75,2101.0,8.23
1475,average,pescetarian,other,moderate,rarely,electricity,private,petrol,extra large,never,1.0,5.0,459.0,9.81,3566.0,9.3
1476,underweight,vegetarian,other,low,twice a day,electricity,hybrid,electric,small,never,1.0,2.0,238.0,3.73,1615.0,9.44
1477,average,vegetarian,female,low,daily,gas,walk,hybrid,small,rarely,13.0,6.0,135.0,8.12,320.0,9.28
1478,overweight,pescetarian,other,moderate,rarely,electricity,private,diesel,small,rarely,8.0,4.0,220.0,0.56,955.0,3.56
1479,average,pescetarian,other,low,twice a day,gas,walk,petrol,large,rarely,6.0,5.0,535.0,4.22,3368.0,2.89
1480,underweight,omnivore,male,moderate,daily,wood,public,diesel,small,frequently,4.0,7.0,514.0,3.59,3829.0,1.74
1481,athletic,omnivore,male,moderate,frequently,solar,walk,petrol,large,rarely,11.0,1.0,178.0,1.03,3955.0,7.74
1482,overweight,vegan,female,moderate,rarely,gas,public,electric,large,never,17.0,7.0,250.0,8.42,2931.0,9.66
1483,athletic,vegan,other,moderate,twice a day,electricity,walk,petrol,medium,rarely,18.0,3.0,587.0,4.42,4506.0,2.07
1484,underweight,pescetarian,other,moderate,rarely,solar,public,electric,medium,never,15.0,7.0,547.0,2.61,1694.0,5.3
1485,underweight,vegan,other,moderate,daily,gas,public,electric,medium,rarely,11.0,3.0,426.0,1.77,1178.0,3.46
1486,underweight,vegetarian,other,high,rarely,solar,private,hybrid,extra large,frequently,5.0,2.0,311.0,10.84,4411.0,7.57
1487,athletic,pescetarian,other,high,frequently,wood,bike,electric,large,frequently,0.0,4.0,159.0,1.67,2841.0,8.78
1488,athletic,pescetarian,other,moderate,twice a day,electricity,bike,petrol,small,never,11.0,6.0,367.0,10.39,342.0,4.16
1489,athletic,vegetarian,female,high,frequently,wood,private,petrol,medium,rarely,10.0,2.0,588.0,6.24,4427.0,7.16
1490,athletic,omnivore,other,low,daily,solar,public,hybrid,extra large,rarely,10.0,3.0,131.0,0.37,3304.0,4.59
1491,underweight,omnivore,other,low,rarely,wood,bike,petrol,large,never,8.0,5.0,224.0,11.5,2168.0,9.54
1492,underweight,vegetarian,other,moderate,twice a day,electricity,bike,electric,extra large,frequently,1.0,1.0,412.0,6.64,666.0,1.02
1493,overweight,vegetarian,female,high,twice a day,gas,walk,petrol,small,rarely,7.0,3.0,211.0,3.81,3125.0,7.92
1494,overweight,vegan,other,low,daily,wood,hybrid,diesel,medium,rarely,0.0,7.0,480.0,3.22,634.0,1.39
1495,athletic,pescetarian,female,low,daily,electricity,private,diesel,large,rarely,0.0,4.0,166.0,3.81,3126.0,7.52
1496,average,vegan,male,low,rarely,solar,hybrid,hybrid,extra large,frequently,11.0,6.0,566.0,2.58,365.0,9.55
1497,average,vegetarian,other,low,twice a day,wood,public,electric,medium,rarely,3.0,7.0,597.0,2.95,1121.0,8.97
1498,underweight,vegan,female,high,daily,gas,walk,petrol,medium,frequently,0.0,4.0,295.0,4.55,2645.0,2.07
1499,underweight,vegetarian,male,low,twice a day,wood,bike,hybrid,large,rarely,11.0,6.0,314.0,6.25,968.0,1.65
1500,underweight,vegan,female,low,rarely,solar,walk,hybrid,medium,frequently,13.0,6.0,158.0,8.71,4229.0,9.27
1501,overweight,vegan,female,low,frequently,solar,private,electric,extra large,never,0.0,7.0,212.0,3.64,4110.0,3.47
1502,overweight,omnivore,male,moderate,daily,solar,public,hybrid,large,frequently,11.0,5.0,380.0,1.62,463.0,2.58
1503,underweight,vegetarian,other,low,rarely,wood,walk,diesel,large,never,4.0,4.0,154.0,0.25,2258.0,3.1
1504,underweight,vegan,other,low,frequently,wood,walk,hybrid,medium,rarely,1.0,5.0,318.0,4.47,1017.0,5.82
1505,underweight,pescetarian,female,high,rarely,wood,walk,petrol,small,rarely,3.0,4.0,110.0,9.49,3828.0,1.61
1506,average,vegan,male,low,daily,gas,bike,diesel,small,rarely,10.0,7.0,591.0,3.95,397.0,1.24
1507,overweight,vegan,other,low,rarely,electricity,public,diesel,small,never,17.0,2.0,593.0,2.61,4714.0,6.28
1508,average,pescetarian,female,low,twice a day,wood,bike,diesel,extra large,rarely,18.0,6.0,244.0,10.94,4131.0,4.93
1509,average,vegetarian,male,moderate,daily,gas,walk,petrol,large,frequently,17.0,1.0,504.0,7.95,4439.0,9.09
1510,underweight,omnivore,female,high,twice a day,solar,bike,electric,medium,frequently,19.0,6.0,476.0,11.71,2044.0,6.03
1511,underweight,omnivore,male,high,rarely,wood,bike,hybrid,small,never,14.0,1.0,481.0,6.73,2333.0,6.23
1512,athletic,omnivore,other,moderate,daily,wood,private,hybrid,medium,frequently,14.0,3.0,593.0,6.49,1913.0,9.27
1513,athletic,pescetarian,other,moderate,twice a day,wood,hybrid,diesel,small,never,8.0,3.0,409.0,11.66,2833.0,1.85
1514,average,vegan,female,high,twice a day,gas,hybrid,diesel,small,never,7.0,2.0,383.0,7.33,4016.0,5.13
1515,overweight,vegetarian,other,low,twice a day,wood,private,hybrid,medium,rarely,9.0,7.0,374.0,6.18,2318.0,4.62
1516,underweight,vegan,other,high,frequently,wood,private,petrol,extra large,never,7.0,7.0,312.0,2.86,3846.0,8.03
1517,underweight,omnivore,male,moderate,twice a day,electricity,bike,diesel,medium,frequently,10.0,6.0,503.0,4.6,1437.0,4.78
1518,average,vegan,other,low,twice a day,gas,bike,diesel,medium,frequently,18.0,2.0,599.0,6.74,4628.0,5.35
1519,athletic,pescetarian,male,high,rarely,electricity,public,petrol,extra large,rarely,11.0,1.0,475.0,6.77,1674.0,5.24
1520,overweight,pescetarian,male,low,rarely,electricity,hybrid,electric,extra large,never,6.0,3.0,436.0,5.47,4000.0,8.12
1521,athletic,vegetarian,female,low,rarely,electricity,bike,diesel,medium,rarely,0.0,3.0,214.0,8.27,1577.0,7.05
1522,athletic,vegetarian,male,moderate,rarely,electricity,public,electric,extra large,rarely,2.0,6.0,578.0,1.88,2249.0,4.84
1523,athletic,omnivore,other,high,frequently,solar,hybrid,petrol,small,rarely,12.0,7.0,571.0,10.41,3555.0,1.64
1524,athletic,vegetarian,male,moderate,rarely,wood,public,hybrid,extra large,rarely,3.0,1.0,598.0,8.85,4919.0,8.51
1525,underweight,vegan,male,high,rarely,electricity,public,hybrid,medium,rarely,9.0,5.0,176.0,9.89,2537.0,9.94
1526,underweight,pescetarian,female,high,rarely,gas,private,electric,extra large,never,5.0,2.0,466.0,0.42,1882.0,7.69
1527,athletic,pescetarian,other,low,twice a day,wood,walk,diesel,large,frequently,3.0,3.0,333.0,9.39,178.0,4.89
1528,overweight,pescetarian,other,low,frequently,electricity,walk,hybrid,extra large,never,7.0,1.0,219.0,8.88,2229.0,4.54
1529,average,vegetarian,other,low,rarely,electricity,walk,petrol,small,never,13.0,7.0,415.0,0.24,334.0,6.38
1530,overweight,pescetarian,male,moderate,twice a day,gas,public,diesel,large,rarely,17.0,2.0,107.0,5.41,1790.0,2.92
1531,overweight,pescetarian,other,low,daily,solar,bike,electric,small,frequently,7.0,6.0,547.0,3.66,2368.0,2.41
1532,overweight,pescetarian,other,moderate,frequently,gas,walk,electric,small,never,4.0,7.0,484.0,3.07,1595.0,2.01
1533,athletic,omnivore,male,low,rarely,solar,bike,electric,large,never,13.0,1.0,415.0,1.88,2364.0,9.72
1534,underweight,omnivore,female,moderate,twice a day,solar,hybrid,electric,small,frequently,14.0,6.0,577.0,3.04,4919.0,6.94
1535,overweight,vegetarian,female,high,daily,solar,walk,petrol,large,never,19.0,7.0,273.0,9.15,3704.0,6.0
1536,athletic,pescetarian,male,moderate,daily,electricity,public,hybrid,small,frequently,16.0,7.0,111.0,10.89,4299.0,8.94
1537,overweight,vegetarian,female,moderate,twice a day,electricity,private,electric,medium,never,3.0,5.0,482.0,4.21,915.0,3.96
1538,overweight,pescetarian,female,moderate,twice a day,solar,public,hybrid,small,rarely,19.0,6.0,577.0,3.42,4628.0,5.59
1539,athletic,pescetarian,female,high,frequently,solar,bike,hybrid,large,frequently,9.0,4.0,258.0,3.52,3857.0,2.27
1540,underweight,pescetarian,other,moderate,twice a day,electricity,hybrid,electric,medium,never,14.0,3.0,76.0,6.41,4815.0,6.46
1541,underweight,vegetarian,female,high,rarely,solar,public,diesel,medium,never,8.0,6.0,203.0,0.55,2999.0,9.09
1542,average,vegetarian,other,low,daily,electricity,private,electric,extra large,frequently,16.0,6.0,505.0,6.9,4896.0,7.72
1543,athletic,pescetarian,female,low,rarely,solar,private,petrol,extra large,frequently,2.0,2.0,474.0,11.04,3826.0,6.16
1544,average,vegan,other,high,rarely,electricity,hybrid,diesel,extra large,frequently,8.0,7.0,410.0,5.91,4477.0,5.68
1545,average,vegetarian,male,moderate,rarely,gas,walk,electric,medium,frequently,10.0,7.0,140.0,4.78,1510.0,6.42
1546,average,omnivore,male,low,daily,solar,public,hybrid,extra large,frequently,19.0,1.0,570.0,0.48,4155.0,6.66
1547,underweight,vegetarian,female,moderate,daily,solar,public,hybrid,medium,frequently,4.0,1.0,231.0,6.57,4254.0,6.51
1548,athletic,pescetarian,other,moderate,daily,gas,private,diesel,extra large,rarely,17.0,2.0,572.0,1.64,4684.0,5.2
1549,average,vegan,male,high,twice a day,wood,bike,petrol,small,rarely,11.0,3.0,568.0,5.54,314.0,6.63
1550,athletic,pescetarian,male,low,rarely,solar,public,hybrid,extra large,frequently,18.0,6.0,589.0,3.71,2133.0,5.69
1551,athletic,omnivore,male,high,frequently,wood,private,petrol,large,never,4.0,3.0,111.0,3.13,749.0,4.8
1552,underweight,vegetarian,male,high,twice a day,gas,bike,hybrid,extra large,rarely,11.0,7.0,122.0,11.49,2617.0,5.7
1553,average,vegetarian,female,high,twice a day,solar,walk,diesel,medium,rarely,5.0,6.0,148.0,9.45,4115.0,8.38
1554,average,pescetarian,other,high,frequently,wood,walk,electric,large,never,16.0,1.0,356.0,1.43,2429.0,9.17
1555,athletic,pescetarian,male,moderate,rarely,solar,private,hybrid,large,rarely,13.0,3.0,254.0,3.8,4116.0,6.75
1556,overweight,omnivore,female,low,frequently,solar,private,diesel,medium,rarely,2.0,6.0,315.0,8.44,3311.0,8.76
1557,underweight,vegan,male,low,daily,electricity,walk,diesel,large,frequently,0.0,4.0,427.0,9.88,2592.0,1.04
1558,underweight,omnivore,male,low,rarely,wood,private,electric,large,rarely,12.0,5.0,587.0,6.32,1487.0,9.47
1559,underweight,vegan,male,moderate,twice a day,electricity,hybrid,electric,large,rarely,17.0,5.0,500.0,10.8,1653.0,1.07
1560,underweight,vegetarian,male,moderate,daily,electricity,public,diesel,extra large,rarely,9.0,4.0,327.0,4.34,860.0,9.42
1561,average,vegan,female,high,daily,wood,hybrid,hybrid,large,frequently,18.0,3.0,597.0,0.91,3987.0,2.62
1562,average,vegan,other,high,twice a day,wood,bike,petrol,small,never,18.0,6.0,505.0,11.3,2575.0,1.84
1563,overweight,vegetarian,female,high,frequently,electricity,private,petrol,small,never,16.0,1.0,523.0,4.97,653.0,8.97
1564,underweight,vegetarian,female,high,daily,solar,private,electric,extra large,never,6.0,3.0,230.0,0.28,1070.0,1.15
1565,underweight,vegetarian,female,low,daily,solar,bike,hybrid,extra large,never,7.0,2.0,304.0,8.63,3591.0,8.45
1566,athletic,omnivore,male,high,rarely,gas,public,diesel,small,rarely,15.0,7.0,398.0,3.02,2567.0,2.82
1567,average,vegetarian,other,moderate,rarely,solar,walk,petrol,large,frequently,15.0,2.0,406.0,1.09,4169.0,4.59
1568,underweight,pescetarian,male,moderate,twice a day,wood,hybrid,petrol,small,frequently,15.0,7.0,172.0,10.13,2504.0,1.07
1569,overweight,vegetarian,female,moderate,twice a day,wood,public,hybrid,medium,rarely,19.0,3.0,363.0,2.91,4558.0,9.74
1570,overweight,vegetarian,male,high,twice a day,gas,walk,diesel,large,never,8.0,4.0,320.0,6.52,4364.0,4.99
1571,average,vegetarian,other,low,frequently,wood,walk,electric,small,frequently,12.0,2.0,231.0,7.35,578.0,4.9
1572,overweight,vegan,other,low,daily,electricity,private,petrol,small,rarely,3.0,7.0,106.0,11.34,731.0,1.21
1573,overweight,omnivore,male,high,twice a day,gas,bike,hybrid,large,rarely,9.0,6.0,128.0,4.76,659.0,2.67
1574,average,vegetarian,female,high,rarely,gas,private,electric,large,rarely,8.0,5.0,107.0,6.02,3220.0,2.76
1575,underweight,omnivore,male,moderate,daily,solar,bike,hybrid,large,rarely,17.0,1.0,482.0,3.62,1867.0,1.1
1576,underweight,pescetarian,female,moderate,twice a day,solar,private,diesel,extra large,frequently,11.0,4.0,555.0,5.6,2652.0,2.53
1577,overweight,pescetarian,other,low,daily,electricity,hybrid,hybrid,medium,rarely,9.0,7.0,466.0,0.08,669.0,9.46
1578,overweight,vegetarian,male,moderate,daily,electricity,private,electric,extra large,frequently,16.0,2.0,134.0,10.3,243.0,6.24
1579,underweight,pescetarian,other,moderate,daily,solar,hybrid,diesel,small,rarely,11.0,1.0,568.0,0.79,2852.0,1.16
1580,average,omnivore,female,high,twice a day,solar,public,petrol,medium,rarely,1.0,6.0,541.0,2.95,4799.0,2.94
1581,overweight,vegan,female,low,daily,electricity,public,electric,extra large,frequently,13.0,5.0,334.0,8.63,400.0,4.73
1582,athletic,vegetarian,male,high,daily,solar,private,hybrid,small,rarely,5.0,2.0,98.0,7.7,1579.0,2.54
1583,average,pescetarian,male,low,daily,gas,public,petrol,large,never,10.0,2.0,399.0,9.02,965.0,2.41
1584,overweight,omnivore,male,high,rarely,electricity,walk,diesel,small,frequently,13.0,1.0,484.0,6.06,3615.0,9.63
1585,overweight,omnivore,other,low,twice a day,solar,hybrid,electric,large,frequently,13.0,1.0,531.0,11.14,4953.0,9.93
1586,athletic,pescetarian,female,moderate,frequently,wood,bike,diesel,extra large,rarely,5.0,3.0,360.0,11.34,2044.0,6.61
1587,athletic,omnivore,female,low,rarely,wood,hybrid,diesel,small,frequently,0.0,2.0,429.0,9.09,3434.0,8.8
1588,underweight,omnivore,other,low,daily,electricity,private,hybrid,medium,frequently,16.0,7.0,531.0,3.86,4260.0,4.92
1589,average,vegetarian,male,high,daily,wood,public,hybrid,small,never,16.0,5.0,144.0,0.49,2932.0,1.05
1590,average,omnivore,male,low,frequently,wood,public,hybrid,large,frequently,16.0,1.0,576.0,6.59,1939.0,6.25
1591,underweight,pescetarian,other,low,frequently,gas,walk,petrol,extra large,never,9.0,4.0,83.0,0.11,3160.0,2.49
1592,average,vegetarian,female,low,rarely,electricity,public,petrol,medium,frequently,9.0,2.0,263.0,9.71,1270.0,6.19
1593,average,pescetarian,female,high,daily,wood,private,hybrid,medium,never,13.0,4.0,61.0,7.06,2399.0,9.03
1594,average,vegan,female,low,frequently,solar,private,petrol,extra large,frequently,0.0,2.0,199.0,7.43,3360.0,7.75
1595,average,pescetarian,female,high,rarely,electricity,bike,electric,extra large,frequently,1.0,1.0,289.0,0.73,3995.0,3.33
1596,average,pescetarian,other,moderate,frequently,electricity,hybrid,diesel,small,never,17.0,3.0,121.0,7.03,2304.0,8.29
1597,athletic,vegetarian,female,high,daily,wood,hybrid,hybrid,small,never,19.0,2.0,241.0,2.16,4965.0,7.4
1598,average,omnivore,other,low,daily,wood,hybrid,diesel,medium,never,2.0,6.0,278.0,4.83,3182.0,9.42
1599,athletic,pescetarian,male,moderate,daily,gas,bike,diesel,small,frequently,3.0,7.0,333.0,3.83,643.0,6.59
1600,average,vegetarian,other,low,daily,solar,bike,diesel,large,rarely,4.0,1.0,508.0,2.96,2898.0,9.83
1601,underweight,vegan,female,high,twice a day,gas,bike,electric,large,rarely,19.0,1.0,380.0,5.36,1745.0,5.75
1602,overweight,vegetarian,male,moderate,twice a day,gas,walk,electric,small,frequently,2.0,1.0,520.0,9.14,1678.0,5.73
1603,athletic,vegetarian,other,moderate,twice a day,solar,bike,petrol,medium,frequently,2.0,4.0,283.0,2.8,3973.0,1.17
1604,average,omnivore,other,moderate,rarely,wood,public,diesel,small,never,3.0,1.0,382.0,6.13,1103.0,9.43
1605,underweight,pescetarian,other,low,rarely,gas,walk,petrol,extra large,never,5.0,7.0,92.0,4.28,3884.0,4.88
1606,overweight,vegan,male,moderate,frequently,electricity,public,diesel,extra large,never,6.0,4.0,460.0,7.85,4972.0,8.81
1607,athletic,vegetarian,other,moderate,frequently,gas,hybrid,hybrid,medium,rarely,3.0,5.0,146.0,6.8,3814.0,4.47
1608,overweight,pescetarian,female,moderate,rarely,solar,private,diesel,medium,frequently,14.0,6.0,422.0,7.8,4670.0,9.35
1609,underweight,pescetarian,male,moderate,frequently,gas,hybrid,diesel,extra large,frequently,5.0,6.0,284.0,11.79,2064.0,9.54
